Model,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Test ROC-AUC
RF Baseline,0.9960893854748604,1.0,0.5,0.6666666666666666,0.896376287001287
RF Tuned,0.9960893854748604,1.0,0.5,0.6666666666666666,0.9212717181467182
XGB Baseline,0.9955307262569832,0.875,0.5,0.6363636363636364,0.9171492921492922
XGB Tuned,0.9955307262569832,1.0,0.42857142857142855,0.6,0.9230614543114545
